"cluster","median.target","median.matched","pval","comparison","FDR","significant","cluster.dynamics"
"c11.3L.1_5",0.0132031666666667,0.00150083333333334,1.08201304525776e-39,"2_5",3.59696228558661e-39,"yes","positive"
"c18.2R.1_5",0.0171561666666666,0.00142197666666667,2.90746638445425e-08,"2_5",4.11055592284911e-08,"yes","positive"
"c13.3R.1_5",-0.00232083333333333,-0.00116566666666671,0.685209267067846,"2_5",0.695912671233614,"no","neutral"
"c19.2R.1_5",0.0099545,-0.000521908333333321,0.00011500729725975,"2_5",0.000141458975629492,"yes","positive"
"c21.2L.1_5",-0.00858691666666664,0.00305389166666666,4.3886427931033e-27,"2_5",1.01849634632397e-26,"yes","negative"
"c20.2R.1_5",0.00936128333333333,0.00120236666666666,2.57759661089073e-07,"2_5",3.48400421032483e-07,"yes","positive"
"c14.3R.1_5",0.011963085,0.000682883333333328,5.78096939501063e-100,"2_5",7.11059235586307e-99,"yes","positive"
"c12.3L.1_5",0.007064225,0.00178600000000001,0.000828688813665259,"2_5",0.000980083885392566,"yes","positive"
"c13.3L.1_5",0.00802055833333333,0.000880772500000002,1.72282162857994e-12,"2_5",2.90283644267579e-12,"yes","positive"
"c22.2L.1_5",0.0118313333333333,0.00615499999999999,0.000114249510031497,"2_5",0.000141458975629492,"yes","positive"
"c21.2R.1_5",0.01703025,0.000729966666666664,4.97678419417174e-44,"2_5",1.74898415966607e-43,"yes","positive"
"c14.3L.1_5",0.00941673333333333,0.0031808,9.72647020989016e-06,"2_5",1.23335653176958e-05,"yes","positive"
"c23.2L.1_5",-0.008040525,0.00522405833333337,3.48346208223615e-51,"2_5",1.47746840039671e-50,"yes","negative"
"c15.3L.1_5",0.0161954166666667,-0.0013017,1.11821241736522e-08,"2_5",1.59930380623165e-08,"yes","positive"
"c16.3L.1_5",0.0136077083333334,0.000487291666666677,9.8736974159837e-22,"2_5",1.95881416478386e-21,"yes","positive"
"c24.2L.1_5",0.0264721666666667,0.00371100000000002,2.97656682165593e-13,"2_5",5.15658759244619e-13,"yes","positive"
"c17.3L.1_5",0.01332,0.00208550000000002,9.80334700915705e-12,"2_5",1.60774890950176e-11,"yes","positive"
"c25.2L.1_5",0.0111989833333333,0.0044598416666667,5.20803870343714e-55,"2_5",2.37255096489914e-54,"yes","positive"
"c18.3L.1_5",0.0117316666666667,0.00244383333333333,1.04672330898907e-34,"2_5",2.92606743194672e-34,"yes","positive"
"c22.2R.1_5",0.0262585833333333,-0.00191070833333333,2.38506561603943e-16,"2_5",4.51327801189e-16,"yes","positive"
"c23.2R.1_5",0.0347446666666667,0.00267900000000001,5.92189636755118e-56,"2_5",2.80151251234152e-55,"yes","positive"
"c15.3R.1_5",-0.00875576666666667,-0.000361899999999998,0.00174197552259813,"2_5",0.00199807537218735,"yes","negative"
"c16.3R.1_5",0.0110456833333334,0.00146085250000003,2.35513928542852e-57,"2_5",1.20700888378212e-56,"yes","positive"
"c24.2R.1_5",0.0114095,0.00301010833333333,5.87041581457398e-07,"2_5",7.84849070861521e-07,"yes","positive"
"c12.X.1_5",-0.00645383333333335,0.00171383333333332,1.3742987041956e-05,"2_5",1.72488510832713e-05,"yes","negative"
"c26.2L.1_5",0.00910207000000003,0.00288288333333334,2.11675491452135e-09,"2_5",3.21433153686575e-09,"yes","positive"
"c13.X.1_5",0.00420838333333333,0.00136449999999999,0.235282355670403,"2_5",0.245251947012369,"no","neutral"
"c19.3L.1_5",0.0208163333333333,0.000434815833333331,1.44852847272442e-93,"2_5",1.27263572960788e-92,"yes","positive"
"c17.3R.1_5",0.013029325,0.00353708333333333,2.40222617415916e-06,"2_5",3.14333850448486e-06,"yes","positive"
"c18.3R.1_5",0.0148486666666666,0.00252158333333334,1.78949672564288e-48,"2_5",7.33693657513581e-48,"yes","positive"
"c25.2R.1_5",0.0322595833333333,0.00243499999999996,4.02884172635181e-38,"2_5",1.23886883085318e-37,"yes","positive"
"c26.2R.1_5",0.014445,0.00260558333333333,8.59749500259845e-196,"2_5",2.11498377063922e-194,"yes","positive"
"c27.2L.1_5",0.0227495,0.005776,6.10207559205185e-36,"2_5",1.78703642338661e-35,"yes","positive"
"c19.3R.1_5",0.0103645,-0.00277849999999999,1.82895651315699e-07,"2_5",2.49957390131455e-07,"yes","positive"
"c28.2L.1_5",0.0175999166666666,0.0034259166666667,4.61019968153384e-97,"2_5",5.15504146207875e-96,"yes","positive"
"c20.3L.1_5",0.0116592,0.002674,0.00133607863899247,"2_5",0.00155035540184975,"yes","positive"
"c21.3L.1_5",0.00662222499999999,0.000872683333333332,0.00798268291193579,"2_5",0.00884567565917209,"yes","positive"
"c27.2R.1_5",0.00920369166666665,0.00197564166666664,1.86993536707711e-09,"2_5",2.87502562688106e-09,"yes","positive"
"c14.X.1_5",0.0199856166666667,0.00368816666666669,1.07795142177391e-08,"2_5",1.55985911621401e-08,"yes","positive"
"c22.3L.1_5",0.0154292166666666,0.00247949999999997,1.47747423739358e-151,"2_5",2.27161663999263e-150,"yes","positive"
"c29.2L.1_5",0.00631286666666663,0.00411979166666666,0.00098879114752006,"2_5",0.00115829820138064,"yes","positive"
"c15.X.1_5",0.00641941666666666,0.000837366666666669,1.00208250939087e-14,"2_5",1.83964400977727e-14,"yes","positive"
"c20.3R.1_5",0.00977331666666666,0.0014786425,2.21780698964523e-37,"2_5",6.65342096893569e-37,"yes","positive"
"c30.2L.1_5",0.0165829083333333,0.00342656666666667,3.72414461496271e-09,"2_5",5.51891310410137e-09,"yes","positive"
"c16.X.1_5",0.0222699166666666,0.00248716666666668,8.77517986702346e-74,"2_5",6.34910072731697e-73,"yes","positive"
"c21.3R.1_5",0.00785243333333334,0.00166366666666665,1.01696107163161e-57,"2_5",5.43853094829078e-57,"yes","positive"
"c31.2L.1_5",0.0122368333333333,0.00546105,7.26903255008066e-25,"2_5",1.5685807081753e-24,"yes","positive"
"c22.3R.1_5",0.00728453833333333,0.00120583333333335,2.18934548099513e-28,"2_5",5.49570396249798e-28,"yes","positive"
"c23.3R.1_5",0.00806460000000001,0.00249133333333335,1.03755548959413e-31,"2_5",2.71530479191655e-31,"yes","positive"
"c24.3R.1_5",0.0159712666666667,0.00251599166666666,5.22299480343787e-21,"2_5",1.00379431378572e-20,"yes","positive"
"c25.3R.1_5",0.0165536666666667,0.00167049999999999,4.34777768340297e-321,"2_5",5.34776655058565e-319,"yes","positive"
"c26.3R.1_5",0.005963,0.00199444999999999,0.000186810815150239,"2_5",0.00022750227983643,"yes","positive"
"c27.3R.1_5",0.00861173333333333,0.000681708333333336,5.12684433051405e-45,"2_5",1.91091470500978e-44,"yes","positive"
