"cage","sex","replicate","vial","X16","X20","X24","X40","X44","X48","X64","X68","X72","X88","X92","X96","X112","X116","X120","X136","X140","X144","X160","X164","X168","X184","X188","X192","cage.treat","cage.treat2","timepoint"
"A6","M",2,"T4-A6-a2M",0,1,2,4,5,7,7,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A6","M",3,"T4-A6-a3M",1,1,2,5,5,6,7,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"1","M",1,"T4-1-n1M",0,0,2,5,6,6,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"1","M",2,"T4-1-n2M",1,1,2,5,5,6,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"1","M",3,"T4-1-n3M",0,0,1,3,4,5,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"2","M",1,"T4-2-n1M",0,0,0,3,5,5,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"2","M",2,"T4-2-n2M",0,0,2,6,7,7,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"2","M",3,"T4-2-n3M",0,0,2,6,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"3","M",1,"T4-3-n1M",0,0,0,1,3,5,7,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"3","M",2,"T4-3-n2M",0,0,2,4,6,6,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"3","M",3,"T4-3-n3M",0,0,2,4,7,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"4","M",1,"T4-4-n1M",1,1,2,5,6,6,7,7,7,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"4","M",2,"T4-4-n2M",0,0,3,5,7,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"4","M",3,"T4-4-n3M",0,0,1,3,5,6,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"5","M",1,"T4-5-n1M",0,0,1,3,5,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"5","M",2,"T4-5-n2M",0,0,2,4,6,7,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"5","M",3,"T4-5-n3M",0,0,2,5,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"6","M",1,"T4-6-n1M",0,0,3,5,6,7,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
