"cluster","median.target","median.matched","pval","comparison","FDR","significant","cluster.dynamics"
"c21.3R.1_5",0.0154886136363636,0.000402787878787892,5.11793805461411e-252,"2_4",1.25901276143507e-250,"yes","positive"
"c31.2L.1_5",0.00494990833333333,0.00269442575757577,0.000418799506980403,"2_4",0.000485965465647071,"yes","positive"
"c22.3R.1_5",0.00967744015151515,0.000732530303030332,9.42417211352138e-54,"2_4",3.99714886194183e-53,"yes","positive"
"c23.3R.1_5",0.00587301515151517,0.000795856060606059,2.4587961864705e-35,"2_4",7.9587350246282e-35,"yes","positive"
"c24.3R.1_5",0.0171820662878788,-6.36182575757574e-05,2.02509397891399e-44,"2_4",7.54807755777033e-44,"yes","positive"
"c25.3R.1_5",0.0160150454545455,0.000389106818181814,0,"2_4",0,"yes","positive"
"c26.3R.1_5",0.00970491212121212,0.00030081590909091,5.95700715771041e-20,"2_4",1.40906130845842e-19,"yes","positive"
"c27.3R.1_5",0.00372603257575757,4.09484848484365e-05,4.42547992758236e-09,"2_4",5.91667425100685e-09,"yes","positive"
"c1.2L.1_5",-0.00583752348484848,0.0011693409090909,2.49868356381721e-05,"4_5",6.27220568060238e-05,"yes","negative"
"c1.3R.1_5",0.00495715757575758,4.68613636363593e-05,3.52680619793166e-11,"4_5",1.80748817643998e-10,"yes","positive"
"c1.X.1_5",0.00747832196969694,0.000931001515151512,6.08518100986745e-08,"4_5",2.07910351170471e-07,"yes","positive"
"c1.3L.1_5",-0.00380754601780303,0.000815844696969659,0.00736733719734499,"4_5",0.012585867712131,"yes","negative"
"c1.2R.1_5",0.0082584159090909,0.000911275000000003,4.37292593530178e-104,"4_5",5.37869890042119e-102,"yes","positive"
"c2.3L.1_5",0.00618139015151517,-0.000160746212121199,0.244827637717226,"4_5",0.298156430091275,"no","neutral"
"c2.3R.1_5",0.00576731818181819,0.00085022909090909,8.97300548060456e-46,"4_5",3.67893224704787e-44,"yes","positive"
"c3.3L.1_5",0.00351970454545456,0.00112110151515151,2.40106130263999e-32,"4_5",4.21900771749598e-31,"yes","positive"
"c2.X.1_5",0.00531364734848486,0.000724506818181794,5.58784085053146e-06,"4_5",1.58208260303206e-05,"yes","positive"
"c2.2L.1_5",0.00727061363636363,-0.000397407575757569,0.000132976687548995,"4_5",0.0003145410109332,"yes","positive"
"c3.X.1_5",0.00257195287878788,0.000672939015151515,0.000980094322724289,"4_5",0.00191351748722361,"yes","positive"
"c3.2L.1_5",0.00264987121212124,0.00019082575757573,0.214514397884278,"4_5",0.263852709397662,"no","neutral"
"c4.2L.1_5",0.00561243636363636,0.00126157727272727,2.3110590512422e-08,"4_5",8.61394737281184e-08,"yes","positive"
"c5.2L.1_5",0.00254363636363636,0.0005625575,2.48464324298958e-06,"4_5",7.64027797219296e-06,"yes","positive"
"c4.X.1_5",0.00826045606060605,0.00109479863636364,8.85865658837484e-15,"4_5",6.05341533538947e-14,"yes","positive"
"c2.2R.1_5",0.00239319696969698,0.000927464393939398,1.09270655641965e-07,"4_5",3.63251098485451e-07,"yes","positive"
"c6.2L.1_5",0.000858473333333332,0.00197030106060609,0.0442224254215055,"4_5",0.0625213600786802,"no","neutral"
"c5.X.1_5",-0.000734022727272715,0.000838370454545447,0.359260039576926,"4_5",0.42084747493297,"no","neutral"
"c7.2L.1_5",0.000509211363636367,0.00105640909090909,0.300402712920008,"4_5",0.358733336787971,"no","neutral"
"c3.2R.1_5",-0.00297321212121215,0.000618695454545456,0.00310032180454309,"4_5",0.00569163555162388,"yes","negative"
"c3.3R.1_5",0.00336884469696969,0.00051553484848485,5.604558877902e-30,"4_5",8.61700927477432e-29,"yes","positive"
