"cluster","median.target","median.matched","pval","comparison","FDR","significant","cluster.dynamics"
"c26.2R.1_5",0.00257166666666666,0.00131471666666666,0.00331051738219895,"2_4",0.00395333629136379,"yes","positive"
"c27.2L.1_5",0.0174261066666667,0.00133243333333333,3.82133377209387e-19,"2_4",9.21615792093228e-19,"yes","positive"
"c19.3R.1_5",0.0222369833333333,0.00314718333333333,1.21271295586261e-06,"2_4",1.6391614678143e-06,"yes","positive"
"c28.2L.1_5",0.05156385,0.00279534833333333,0,"2_4",0,"yes","positive"
"c20.3L.1_5",0.011033338,0.00171366,2.36754587367437e-12,"2_4",4.41224458275678e-12,"yes","positive"
"c21.3L.1_5",0.0108685166666667,-5.94683333333349e-05,1.30985381382907e-19,"2_4",3.35650039793699e-19,"yes","positive"
"c27.2R.1_5",0.00690456833333333,0.001032325,9.68124415203893e-05,"2_4",0.000121509492928652,"yes","positive"
"c14.X.1_5",0.00911386666666666,0.00035306666666668,3.3057476643415e-05,"2_4",4.23548919493755e-05,"yes","positive"
"c22.3L.1_5",0.0116898033333333,0.00116670166666667,4.50016978579683e-97,"2_4",4.61267403044175e-96,"yes","positive"
"c29.2L.1_5",0.0261947316666667,0.00401685166666666,3.90707373783345e-56,"2_4",2.52931615659744e-55,"yes","positive"
"c15.X.1_5",0.0063658,-5.62333333334331e-06,9.54041401117497e-27,"2_4",3.17154303614735e-26,"yes","positive"
"c20.3R.1_5",0.0159398,8.01833333333446e-05,3.14995124429908e-124,"2_4",3.52221820953443e-123,"yes","positive"
"c30.2L.1_5",0.00552164499999999,0.00303810583333333,0.259130865841417,"2_4",0.270110987275375,"no","neutral"
"c16.X.1_5",0.0169034,0.000723100000000004,3.20056097381661e-44,"2_4",1.40596071349801e-43,"yes","positive"
"c21.3R.1_5",0.0154424833333333,9.39216666666632e-05,6.75880047449355e-138,"2_4",1.03916557295338e-136,"yes","positive"
"c31.2L.1_5",0.000320833333333326,0.00238026666666667,0.241076540811846,"2_4",0.253439440340659,"no","neutral"
